"Aircraft Name","Company Name","Contact Number",url
"2004 Gulfstream G200","Leviate Air Group","""+1 877.407.8507, +1 214.676.6975""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6366/2004-gulfstream-g200
"2004 Cessna Citation XLS",JETAVIVA,"""312-246-2508""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6130/2004-cessna-citation-xls
"2004 Cessna Citation Bravo",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6183/2004-cessna-citation-bravo
"2004 Cirrus SR22 G2","Lone Mountain Aircraft","""612-321-6489""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6230/2004-cirrus-sr22
"2004 Beechcraft Premier 1","Meisner Aircraft, Inc.","""262-763-6600""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6236/2004-beechcraft-premier-1
"2004 Gulfstream G200","Hatt & Associates, LLC","""3037901050""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5708/2004-gulfstream-g200
"2004 Gulfstream G400",ACASS,"""+1 514.636.1099""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5824/2004-gulfstream-g400
"2004 Cessna Citation CJ3","Eagle Aviation","""803-822-5526, 803-429-7408""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5843/2004-cessna-citation-cj3
"2004 Cirrus SR22","Lone Mountain Aircraft","""+44-7794-501-432""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5887/2004-cirrus-sr22
"2004 Cirrus SR22","Lone Mountain Aircraft","""612-321-6489""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6083/2004-cirrus-sr22
"2005 Cirrus SR22 G2","Lone Mountain Aircraft","""248-924-7280""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5925/2005-cirrus-sr22
"2005 Cessna Citation Sovereign",JETAVIVA,"""312-246-2508""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5977/2005-cessna-citation-sovereign
"2005 Pilatus PC-12","Duncan Aviation, Inc.","""4024791529, 4024328220""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6000/2005-pilatus-pc-12
"2005 Cessna Citation CJ2","Textron Aviation","""316-993-3538""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6098/2005-cessna-citation-cj2
"2005 Bombardier Global Express","Leading Edge Aviation Solutions, LLC","""201-891-0881, 862-222-0820""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6152/2005-bombardier-global-express
"2005 Embraer Legacy 600","Leading Edge Aviation Solutions, LLC","""+1 201.891.0881, +1 914.522.1967""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6162/2005-embraer-legacy-600
"2005 Beechcraft Premier 1","Swartz Aviation Group, LLC.","""940-455-2900, 817-800-9165""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6192/2005-beechcraft-premier-1
"2005 Cirrus SR22 G2 GTS","Lone Mountain Aircraft","""702-285-0604""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6223/2005-cirrus-sr22
"2005 Bombardier Global Express","Jeteffect, Inc.","""562-989-8800, 562-756-4378""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6225/2005-bombardier-global-express
"2005 Bombardier Global Express","The Jet Business","""+442036030000, +447842888888""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4710/2005-bombardier-global-express
"2005 Mooney M20R Ovation 2 GX","Exclusive Aircraft Sales","""651-450-6200, 952-250-7817""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5036/2005-mooney-m20r-ovation-2-gx
"2005 Bombardier Challenger 300","CFS Jets","""704-359-0007, 704-363-8360""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5317/2005-bombardier-challenger-300
"2005 Hawker 400XP","Holstein Aviation, Inc","""7703309586, 770-330-9586""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5407/2005-hawker-400xp
"2005 Dassault Falcon 900EX","CFS Jets","""704-359-0007, 704-363-8360""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6347/2005-dassault-falcon-900ex
"2005 Hawker 800XPi","Meisner Aircraft, Inc.","""262-763-6600, 262-208-6277""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6351/2005-hawker-800xpi
"2005 Beechcraft King Air 350","Axis Jet","""+1 916.391.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5598/2005-beechcraft-king-air-350
"2005 Cessna Citation X","Avpro, Inc.","""410-573-1515, 443.994.7509""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5668/2005-cessna-citation-x
"2005 Gulfstream G550","Guardian Jet, LLC","""203-453-0800""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5774/2005-gulfstream-g550
"2005 Dassault Falcon 2000LX","Avpro, Inc.","""410-573-1515, 410-353-5653""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5830/2005-dassault-falcon-2000lx
"2005 Bombardier Global Express",Bombardier,"""514-855-0187, 514-242-5510""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5889/2005-bombardier-global-express
"2005 Bombardier Learjet 45","Lone Mountain Aircraft","""1-888-566-3686, 1-630-414-1293""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5898/2005-bombardier-learjet-45
"2006 Bombardier Learjet 45XR","Omni Aircraft Sales","""918-671-8382""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5658/2006-bombardier-learjet-45
"2006 Cessna Citation CJ1+",SOLJETS,"""+1 847.920.7000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5806/2006-cessna-citation-cj1
"2006 Daher-Socata TBM 850","Exclusive Aircraft Sales","""651-450-6200, 952-221-2323""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5810/2006-daher-socata-tbm-850
"2006 Cirrus SR22 G2 GTS","Lone Mountain Aircraft","""404-308-8638""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5859/2006-cirrus-sr22
"2006 Dassault Falcon 7X",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5861/2006-dassault-falcon-7x
"2006 Gulfstream G200",ACASS,"""+1 514.636.1099""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5867/2006-gulfstream-g200
"2006 Gulfstream G450","The Jet Business","""+442036030000, +447842888888""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5904/2006-gulfstream-g450
"2006 Cessna Citation CJ2+","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/1659/2006-cessna-citation-cj2
"2006 Hawker 800XPi","Swartz Aviation Group, LLC.","""9404552900, 817-995-4234""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4232/2006-hawker-800xpi
"2006 Agusta AW 139","Guardian Jet, LLC","""203-453-0800, 203-843-8822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4353/2006-agusta-aw-139
"2006 Cirrus SR22 G2","Lone Mountain Aircraft","""404-308-8638""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5041/2006-cirrus-sr22
"2006 Gulfstream G450","Mesinger Jet Sales","""+1 303.444.6766, +1 303.588.0758""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5095/2006-gulfstream-g450
"2006 Gulfstream G200","ASIAN SKY GROUP","""852 91997751""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5322/2006-gulfstream-g200
"2006 Cessna Citation XLS",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5328/2006-cessna-citation-xls
"2006 Dassault Falcon 900EX EASy II","Axiom Aviation, Inc.","""440-227-1466""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5976/2006-dassault-falcon-900ex
"2006 Cessna Citation XLS",JETAVIVA,"""312-246-2508""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6031/2006-cessna-citation-xls
"2006 Bombardier Challenger 300","Guardian Jet, LLC","""203-453-0800, 203-915-4427""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6045/2006-bombardier-challenger-300
"2006 Bombardier Learjet 45XR","Jeteffect, Inc.","""334-502-0500, 912-414-0774""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6094/2006-bombardier-learjet-45
"2006 Hawker 400XP",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6101/2006-hawker-400xp
"2006 Piaggio Avanti II","Wetzel Aviation, Inc.","""303-468-4800, 303-517-4822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6144/2006-piaggio-avanti-ii
"2006 Cessna Citation CJ3","Hatt & Associates, LLC","""(303) 588-9919""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6191/2006-cessna-citation-cj3
"2006 Hawker 400XP",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6202/2006-hawker-400xp
"2006 Cessna Citation Bravo",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6252/2006-cessna-citation-bravo
"2006 Cessna Citation CJ3","Omni Aircraft Sales","""918-671-8382""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6280/2006-cessna-citation-cj3
"2006 Beechcraft King Air C90GT","Gantt Aviation, Inc.","""512-863-5537, 512-818-9936""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6315/2006-beechcraft-king-air-c90gt
"2006 American Legend Aircraft Co. AL3","Lone Mountain Aircraft","""1-888-566-3686, 1-828-315-0044""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6330/2006-american-legend-aircraft-co-al3
"2007 Cessna Citation CJ3","Meisner Aircraft, Inc.","""262-763-6600""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6307/2007-cessna-citation-cj3
"2007 Gulfstream G150","Gulfstream Aerospace Corporation","""""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6316/2007-gulfstream-g150
"2007 Cessna Citation CJ3",JETAVIVA,"""817-891-1843""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6333/2007-cessna-citation-cj3
"2007 Cirrus SR22 G3 GTS","Lone Mountain Aircraft","""612-321-6489""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6393/2007-cirrus-sr22
"2007 Gulfstream G450","Avpro, Inc.","""410-573-1515, 410-353-5653""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6401/2007-gulfstream-g450
"2007 Cirrus SR22 GTS","Lone Mountain Aircraft","""702-285-0604""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5927/2007-cirrus-sr22-gts
"2007 Cessna Citation CJ2+","Dallas Jet International","""214-766-3915, 214-766-3915""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5928/2007-cessna-citation-cj2
"2007 Gulfstream G150","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5996/2007-gulfstream-g150
"2007 Hawker 400XP","5x5 Trading","""952-297-4043, 952-297-4043""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6014/2007-hawker-400xp
"2007 Cirrus SR22 GTS","Lone Mountain Aircraft","""702-285-0604""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6049/2007-cirrus-sr22-gts
"2007 Cessna Citation XLS",OGARAJETS,"""678-303-4723, 404-307-0287""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5555/2007-cessna-citation-xls
"2007 Cirrus SR22TN G3","General Aviation Services, LLC","""+1 847.726.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5556/2007-cirrus-sr22tn
"2007 Cirrus SR22TN G3","Lone Mountain Aircraft","""+44-7794-501-432""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5639/2007-cirrus-sr22tn
"2007 Bombardier Challenger 604","Guardian Jet, LLC","""203-453-0800, 203-843-3684""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5659/2007-bombardier-challenger-604
"2007 Bombardier Global Express XRS","Avpro, Inc.","""410-573-1515, 410-353-5653""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5740/2007-bombardier-global-express-xrs
"2007 Cessna Citation Mustang",JETAVIVA,"""608-770-7728""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5745/2007-cessna-citation-mustang
"2007 Hawker 850XP","Jetsetter Business Jets","""+972.54.977.3890""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5762/2007-hawker-850xp
"2007 Cessna Citation Sovereign","Guardian Jet, LLC","""203-453-0800, 203-843-8822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5836/2007-cessna-citation-sovereign
"2007 Cessna Citation XLS","Holstein Aviation, Inc","""317-815-9403, 316-841-5833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5864/2007-cessna-citation-xls
"2007 Dassault Falcon 7X","Avpro, Inc.","""410-573-1515, 201-913-7934""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5874/2007-dassault-falcon-7x
"2007 Gulfstream G450","QS Partners","""+1 877 356 0747""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4573/2007-gulfstream-g450
"2007 Cessna Citation X","Axis Jet","""+1 916.391.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4695/2007-cessna-citation-x
"2007 Bombardier Global Express XRS","Guardian Jet, LLC","""203-453-0800""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4939/2007-bombardier-global-express-xrs
"2007 Gulfstream G200","CFS Jets","""704-359-0007, 704-564-9207""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4991/2007-gulfstream-g200
"2007 Gulfstream G550","Avpro, Inc.","""410.573.1515, 724.875.9833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4997/2007-gulfstream-g550
"2007 Bombardier Learjet 45XR","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5101/2007-bombardier-learjet-45
"2007 Cirrus SR22TN G3","Lone Mountain Aircraft","""702-285-0604""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5139/2007-cirrus-sr22tn
"2007 Gulfstream G450",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5343/2007-gulfstream-g450
"2007 Gulfstream G150",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6143/2007-gulfstream-g150
"2007 Hawker 900XP","Swartz Aviation Group, LLC.","""9404552900, 817-995-4234""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6145/2007-hawker-900xp
"2007 Cessna Citation Sovereign","West Elk Aircraft","""""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6176/2007-cessna-citation-sovereign
"2007 Cirrus SR22TN","Lone Mountain Aircraft","""1-888-566-3686, 1-828-315-0044""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6180/2007-cirrus-sr22tn
"2007 Gulfstream G550",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6184/2007-gulfstream-g550
"2007 Cessna Citation XLS","Skyservice Business Aviation, Inc.","""403-592-3715, 403-671-2178""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6196/2007-cessna-citation-xls
"2007 Gulfstream G550","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6210/2007-gulfstream-g550
"2007 Gulfstream G200",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6254/2007-gulfstream-g200
"2007 Cessna Citation Sovereign","Jeteffect, Inc.","""561-747-2223, 561-762-7171""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6273/2007-cessna-citation-sovereign
"2008 Cessna Citation Sovereign","Dallas Jet International","""+1 817.991.1204""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6123/2008-cessna-citation-sovereign
"2008 Hawker 4000",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6150/2008-hawker-4000
"2008 Cessna Citation CJ3",JETAVIVA,"""817-891-1843""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6221/2008-cessna-citation-cj3
"2008 Bombardier Challenger 300",Bombardier,"""514-855-0187, 514-242-5510""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6251/2008-bombardier-challenger-300
"2008 Cessna Citation Sovereign","West Elk Aircraft","""""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6258/2008-cessna-citation-sovereign
"2008 Bombardier Learjet 40XR","Skyservice Business Aviation, Inc.","""403-592-3715, 403-671-2178""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6270/2008-bombardier-learjet-40
"2008 Gulfstream G150","Gulfstream Aerospace Corporation","""912-965-7300, 912-547-8172""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5576/2008-gulfstream-g150
"2008 Gulfstream G450",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5583/2008-gulfstream-g450
"2008 Piper Saratoga II TC",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5602/2008-piper-saratoga-ii-tc
"2008 Dassault Falcon 7X","Guardian Jet, LLC","""203-453-0800, 203-641-6793""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5684/2008-dassault-falcon-7x
"2008 Hawker 900XP","Global Wings, LLC","""561-391-3919, 954-383-7979""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5782/2008-hawker-900xp
"2008 Bombardier Challenger 300","Guardian Jet, LLC","""203-453-0800, 203-843-8822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5835/2008-bombardier-challenger-300
"2008 Piper Meridian","Gantt Aviation, Inc.","""512-863-5537, 512-415-4600""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5896/2008-piper-meridian
"2008 Dassault Falcon 2000LX","General Aviation Services, LLC","""+1 847.726.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5905/2008-dassault-falcon-2000lx
"2008 Hawker 750","Aerolineas Ejecutivas S.A. de C.V.","""+52 722 620 7472""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5914/2008-hawker-750
"2008 Gulfstream G150","Aerolineas Ejecutivas S.A. de C.V.","""+52 55 4209 0200, +52 55 5217 3306""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6323/2008-gulfstream-g150
"2008 Bombardier Learjet 60XR","Southern Cross Aircraft, LLC","""9543770303, 954-224-5089""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6370/2008-bombardier-learjet-60
"2008 Beechcraft King Air C90GTi","Aerolineas Ejecutivas S.A. de C.V.","""+52 722 620 7472""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5947/2008-beechcraft-king-air-c90gt
"2008 Bombardier Learjet 40","Elliott Jets","""515-285-6555, 515-865-2790""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5978/2008-bombardier-learjet-40
"2008 Gulfstream G550","Avpro, Inc.","""410-573-1515, 410-353-5653""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5993/2008-gulfstream-g550
"2008 Hawker 900XP","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6016/2008-hawker-900xp
"2008 Dassault Falcon 2000LX",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6021/2008-dassault-falcon-2000lx
"2008 Gulfstream G150",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6044/2008-gulfstream-g150
"2008 Pilatus PC-12/47E NG",JETAVIVA,"""817-891-1843""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6046/2008-pilatus-pc-12
"2008 Cirrus SR22 GTS","Lone Mountain Aircraft","""+1 937.689.6586""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6117/2008-cirrus-sr22-gts
"2008 Gulfstream G550","The Jet Business","""+442036030000, +447842888888""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4216/2008-gulfstream-g550
"2008 Cessna Citation Sovereign",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4671/2008-cessna-citation-sovereign
"2008 Bombardier Learjet 40XR","Southern Cross Aircraft, LLC","""+1 954.377.0303, +1 954.591.4490""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4821/2008-bombardier-learjet-40
"2008 Gulfstream G150","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4852/2008-gulfstream-g150
"2008 Bombardier Learjet 45XR","Wetzel Aviation, Inc.","""303-468-4800, 303-517-4822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5064/2008-bombardier-learjet-45
"2008 Gulfstream G450","Duncan Aviation, Inc.","""402-475-2611""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5205/2008-gulfstream-g450
"2008 Cessna Citation CJ3",SOLJETS,"""+1 847.920.7000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5269/2008-cessna-citation-cj3
"2008 Gulfstream G200",JetHQ,"""+1 858.397.9773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5308/2008-gulfstream-g200
"2008 Cessna Citation Encore+","Holstein Aviation, Inc","""317-815-9403, 316-841-5833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5538/2008-cessna-citation-encore
"2009 Embraer Legacy 600",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4768/2009-embraer-legacy-600
"2009 Gulfstream G550",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5019/2009-gulfstream-g550
"2009 Bombardier Learjet 60XR",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5065/2009-bombardier-learjet-60
"2009 Gulfstream G550","FX Solutions","""316-733-6500, 917-683-2634""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5309/2009-gulfstream-g550
"2009 Pilatus PC-12/47E NG","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5337/2009-pilatus-pc-12
"2009 Pilatus PC-12/47E NG",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5539/2009-pilatus-pc-12
"2009 Pilatus PC-12/47E NG","Lone Mountain Aircraft","""1-888-566-3686, 1-630-414-1293""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6287/2009-pilatus-pc-12
"2009 Beechcraft King Air B200GT","Elliott Jets","""952-944-1200, 612-382-0386""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6297/2009-beechcraft-king-air-b200gt
"2009 Bombardier Learjet 45XR",OGARAJETS,"""+1 678.772.6443, +1 678.772.6443""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6322/2009-bombardier-learjet-45
"2009 Bombardier Global Express XRS",JetTransactions,"""+1 949.439.8663""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6332/2009-bombardier-global-express-xrs
"2009 ACJ ACJ318ELITE","Opus Aero","""+33 678 631 251""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6353/2009-acj-acj318
"2009 Gulfstream G150","CFS Jets","""704-359-0007, 704-363-8360""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6381/2009-gulfstream-g150
"2009 Pilatus PC-12/47E NG","Skytech, Inc","""8033665108, 8034933998""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6383/2009-pilatus-pc-12
"2009 Bombardier Challenger 300","QS Partners","""301 910 1914""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6385/2009-bombardier-challenger-300
"2009 Bombardier Global Express XRS",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6132/2009-bombardier-global-express-xrs
"2009 Bombardier Challenger 605","General Aviation Services, LLC","""+1 847.726.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6213/2009-bombardier-challenger-605
"2009 Dassault Falcon 7X",JetHQ,"""+1 858.397.9773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5552/2009-dassault-falcon-7x
"2009 Dassault Falcon 900EX EASy II",OGARAJETS,"""+1 256.651.0199""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5584/2009-dassault-falcon-900ex
"2009 Gulfstream G150",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5642/2009-gulfstream-g150
"2009 Bombardier Global 5000","Southern Cross Aircraft, LLC","""954-377-0303, 954-328-0935""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5696/2009-bombardier-global-5000
"2009 Quest Kodiak 100","Levaero Aviation Inc","""+1-905-672-2000, +1 647-248-7554""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5723/2009-quest-kodiak-100
"2009 Cessna Citation X","Jet Sense Aviation, LLC","""8475504660, 847-409-1675""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5757/2009-cessna-citation-x
"2009 Gulfstream G450","Jeteffect, Inc.","""562-989-8800, 562-756-4378""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5776/2009-gulfstream-g450
"2009 Bombardier Learjet 60XR","QS Partners","""301 910 1914""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5860/2009-bombardier-learjet-60
"2009 Gulfstream G200",ACASS,"""+1 514.636.1099""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5868/2009-gulfstream-g200
"2009 Gulfstream G550","ASIAN SKY GROUP","""852 91997751""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5909/2009-gulfstream-g550
"2009 Embraer Phenom 100","Lone Mountain Aircraft","""1-888-566-3686, 1-630-414-1293""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5921/2009-embraer-phenom-100
"2009 Gulfstream G200","CFS Jets","""423-667-2222""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5922/2009-gulfstream-g200
"2009 Beechcraft Premier 1A","Holstein Aviation, Inc","""317-815-9403, 317-605-5955""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5956/2009-beechcraft-premier-1a
"2009 Dassault Falcon 7X","The Jet Business","""+442036030000, +447842888888""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5964/2009-dassault-falcon-7x
"2009 Hawker 4000","Hatt & Associates, LLC","""+1 303.790.1050, +1 316.640.1613""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5965/2009-hawker-4000
"2009 Gulfstream G550","Gulfstream Aerospace Corporation","""912-965-7300, 912-547-8172""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6033/2009-gulfstream-g550
"2009 Bombardier Global 5000","The Jet Business","""+442036030000, +447842888888""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6058/2009-bombardier-global-5000
"2009 Cessna Grand Caravan","Absolute Aviation","""+27 115.48.3000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6071/2009-cessna-grand-caravan
"2010 Bombardier Challenger 300",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5974/2010-bombardier-challenger-300
"2010 Cirrus SR20 G3","Lone Mountain Aircraft","""1-888-566-3686, 1-630-487-1480""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6047/2010-cirrus-sr20
"2010 Dassault Falcon 2000LX","Mente Group, LLC","""+1 214.351.9595, 310-351-6758""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6133/2010-dassault-falcon-2000lx
"2010 Cessna Citation Mustang","West Elk Aircraft","""""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6177/2010-cessna-citation-mustang
"2010 Daher-Socata TBM 850","Elliott Jets","""515-285-6555, 515-865-2790""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6218/2010-daher-socata-tbm-850
"2010 Bell 429",JetHQ,"""8583979773, 316-841-2458""",https://aircraftexchange.com/jet-aircraft-for-sale/details/3994/2010-bell-429
